"","UniID","mom","ID","temp","active","instar","time","duration","mgain","rgrlog","rgrarith","time.per","dur","durbin"
"408","35.8.23","8",23,35,"y",5,NA,24,94.72,0.0163883856762144,3.94666666666667,"current",24,24
"409","35.8.24","8",24,35,"y",5,NA,0,0,NA,NA,"current",0,NA
"410","35.8.24","8",24,35,"y",5,NA,6,39.61,0.0272155113422196,6.60166666666667,"current",6,6
"411","35.8.24","8",24,35,"y",5,NA,24,105.28,0.0143757199472743,4.38666666666667,"current",24,24
"412","23.8.25","8",25,23,"y",5,NA,0,0,NA,NA,"current",0,NA
"413","23.8.25","8",25,23,"y",5,NA,6,14.2,0.0221763582737002,2.36666666666667,"current",6,6
"414","23.8.25","8",25,23,"y",5,NA,24,101.84,0.0230332545578632,4.24333333333333,"current",24,24
"415","23.8.26","8",26,23,"y",5,NA,0,0,NA,NA,"current",0,NA
"416","23.8.26","8",26,23,"y",5,NA,6,10.89,0.016477166465383,1.815,"current",6,6
"417","23.8.26","8",26,23,"y",5,NA,24,75.23,0.0184102616074407,3.13458333333333,"current",24,24
"418","23.8.27","8",27,23,"y",5,NA,0,0,NA,NA,"current",0,NA
"419","23.8.27","8",27,23,"y",5,NA,6,17.67,0.0271935624961697,2.945,"current",6,6
"420","23.8.27","8",27,23,"y",5,NA,24,75.99,0.0196434641126705,3.16625,"current",24,24
"421","23.8.29","8",29,23,"y",5,NA,0,0,NA,NA,"current",0,NA
"422","23.8.29","8",29,23,"y",5,NA,6,18.4,0.0266599143675675,3.06666666666667,"current",6,6
"423","23.8.29","8",29,23,"y",5,NA,24,88.14,0.0206656370764304,3.6725,"current",24,24
"424","23.8.30","8",30,23,"y",5,NA,0,0,NA,NA,"current",0,NA
"425","23.8.30","8",30,23,"y",5,NA,6,18.37,0.0302421645712982,3.06166666666667,"current",6,6
"426","23.8.30","8",30,23,"y",5,NA,24,91.11,0.0230393729660703,3.79625,"current",24,24
"427","23.8.32","8",32,23,"y",4,NA,0,0,NA,NA,"current",0,NA
"428","23.8.32","8",32,23,"y",4,NA,6,4.58,0.0271797107281339,0.763333333333333,"current",6,6
"429","23.8.32","8",32,23,"y",4,NA,24,26.07,0.0231492366618734,1.08625,"current",24,24
"430","23.8.33","8",33,23,"y",4,NA,0,0,NA,NA,"current",0,NA
"431","23.8.33","8",33,23,"y",4,NA,6,2.88,0.0174412161718334,0.48,"current",6,6
"432","23.8.33","8",33,23,"y",4,NA,24,19.19,0.0187315808152673,0.799583333333333,"current",24,24
"433","23.8.34","8",34,23,"y",4,NA,0,0,NA,NA,"current",0,NA
"434","23.8.34","8",34,23,"y",4,NA,6,8.5,0.0257115934983257,1.41666666666667,"current",6,6
"435","23.8.34","8",34,23,"y",4,NA,24,29,0.0162528298774771,1.20833333333333,"current",24,24
"436","23.8.35","8",35,23,"y",4,NA,0,0,NA,NA,"current",0,NA
"437","23.8.35","8",35,23,"y",4,NA,6,5.8,0.0374126577018379,0.966666666666666,"current",6,6
"438","23.8.35","8",35,23,"y",4,NA,24,20.53,0.0221213402942795,0.855416666666667,"current",24,24
"439","40.8.36","8",36,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"440","40.8.36","8",36,40,"y",5,NA,18,16.4,0.00858051856204658,0.911111111111111,"current",18,NA
"441","40.8.36","8",36,40,"y",5,NA,36,14.01,0.0037523037593073,0.389166666666667,"current",36,NA
"442","40.8.37","8",37,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"443","40.8.37","8",37,40,"y",5,NA,6,10.07,0.0126723618022398,1.67833333333333,"current",6,6
"444","40.8.37","8",37,40,"y",5,NA,24,9.37,0.00296492997837402,0.390416666666667,"current",24,24
"445","40.8.38","8",38,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"446","40.8.38","8",38,40,"y",5,NA,6,27.53,0.0403520108761449,4.58833333333333,"current",6,6
"447","40.8.38","8",38,40,"y",5,NA,24,26.96,0.00992717693219294,1.12333333333333,"current",24,24
"448","40.8.39","8",39,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"449","40.8.39","8",39,40,"y",5,NA,6,22.21,0.0270390678616982,3.70166666666667,"current",6,6
"450","40.8.39","8",39,40,"y",5,NA,24,19.78,0.00613184194893969,0.824166666666666,"current",24,24
"451","40.8.40","8",40,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"452","40.8.40","8",40,40,"y",5,NA,6,10.29,0.0107776504064812,1.715,"current",6,6
"453","40.8.40","8",40,40,"y",5,NA,24,6.94,0.00186048096199951,0.289166666666667,"current",24,24
"454","40.8.41","8",41,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"455","40.8.41","8",41,40,"y",5,NA,6,12.06,0.0133547952526939,2.01,"current",6,6
"456","40.8.41","8",41,40,"y",5,NA,24,9.95,0.00279726568068888,0.414583333333333,"current",24,24
"457","40.8.42","8",42,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"458","40.8.42","8",42,40,"y",5,NA,6,14.42,0.0239596789253173,2.40333333333333,"current",6,6
"459","40.8.42","8",42,40,"y",5,NA,24,7.1,0.00319634392841024,0.295833333333333,"current",24,24
"460","40.8.43","8",43,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"461","40.8.43","8",43,40,"y",5,NA,6,31.97,0.0339302419904072,5.32833333333333,"current",6,6
"462","40.8.43","8",43,40,"y",5,NA,24,37.27,0.00957174818569836,1.55291666666667,"current",24,24
"463","40.8.44","8",44,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"464","40.8.44","8",44,40,"y",5,NA,6,12.51,0.0141681869525719,2.085,"current",6,6
"465","40.8.44","8",44,40,"y",5,NA,24,5.39,0.00161175418899547,0.224583333333333,"current",24,24
"466","40.8.45","8",45,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"467","40.8.45","8",45,40,"y",5,NA,6,12.64,0.0193679725304643,2.10666666666667,"current",6,6
"468","40.8.45","8",45,40,"y",5,NA,24,18.41,0.00668424607484762,0.767083333333333,"current",24,24
"469","40.8.46","8",46,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"470","40.8.46","8",46,40,"y",5,NA,6,9.06,0.0179110733129672,1.51,"current",6,6
"471","40.8.46","8",46,40,"y",5,NA,24,6.7,0.00341381001619938,0.279166666666667,"current",24,24
"472","40.8.47","8",47,40,"y",5,NA,0,0,NA,NA,"current",0,NA
"473","40.8.47","8",47,40,"y",5,NA,6,10.73,0.0213063643298245,1.78833333333333,"current",6,6
"474","40.8.47","8",47,40,"y",5,NA,24,6.91,0.00360447585518924,0.287916666666667,"current",24,24
"475","41.8.48","8",48,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"476","41.8.48","8",48,41,"n",5,NA,6,-2.14,-0.00261416135383226,-0.356666666666667,"current",6,6
"477","41.8.48","8",48,41,"n",5,NA,24.0166666666667,-15.82,-0.00549933647608113,-0.658709229701596,"current",24.0166666666667,24
"478","41.8.49","8",49,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"479","41.8.49","8",49,41,"y",5,NA,6,0.339999999999996,0.000428374107432498,0.0566666666666661,"current",6,6
"480","41.8.49","8",49,41,"y",5,NA,24.0166666666667,-18.4,-0.00700666563687282,-0.766134628730049,"current",24.0166666666667,24
"481","41.8.50","8",50,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"482","41.8.50","8",50,41,"y",5,NA,6,7.21,0.00932629617787228,1.20166666666667,"current",6,6
"483","41.8.50","8",50,41,"y",5,NA,24.0166666666667,-1.22,-0.000425749418986561,-0.0507980569049271,"current",24.0166666666667,24
"484","41.8.51","8",51,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"485","41.8.51","8",51,41,"y",5,NA,6,0.32,0.000453809722578876,0.0533333333333334,"current",6,6
"486","41.8.51","8",51,41,"y",5,NA,24.0166666666667,-22.03,-0.0102595954954313,-0.917279666897988,"current",24.0166666666667,24
"487","41.8.52","8",52,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"488","41.8.52","8",52,41,"y",5,NA,6,6.66999999999999,0.00805010803872216,1.11166666666667,"current",6,6
"489","41.8.52","8",52,41,"y",5,NA,24.0166666666667,-12.35,-0.00444230817731415,-0.514226231783484,"current",24.0166666666667,24
"490","41.8.53","8",53,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"491","41.8.53","8",53,41,"y",5,NA,6,2.64,0.00294568348405966,0.44,"current",6,6
"492","41.8.53","8",53,41,"y",5,NA,24.0166666666667,-6.03,-0.00180247805037513,-0.251075641915337,"current",24.0166666666667,24
"493","41.8.54","8",54,41,"y",5,NA,0,0,NA,NA,"current",0,NA
"494","41.8.54","8",54,41,"n",5,NA,6,-2.09,-0.00247353823796651,-0.348333333333334,"current",6,6
"495","41.8.54","8",54,41,"n",5,NA,24.0166666666667,-6.3,-0.00193077206456614,-0.262317834836919,"current",24.0166666666667,24
"496","41.8.55","8",55,41,"y",5,NA,0,0,NA,NA,"current",0,NA
